#total threshold cp_delay_ms node1 node2 cp_process_time rest_ms
334099 60000 5 s1 s2 161163 122273
252801 60000 5 s1 s2 130761 62040
343667 60000 5 s1 s2 160809 122858
327229 60000 5 s1 s2 126669 140560
333638 60000 5 s1 s2 127421 146217
241652 60000 5 s1 s2 89456 92196
300652 60000 5 s1 s2 140228 100424
307652 60000 5 s1 s2 135159 112493
280074 60000 5 s1 s2 165316 54758
278660 60000 5 s1 s2 93626 125034

#Avg threshold cp_process_time rest_ms
Avg: 60000 133060.8 107885.3
