#total threshold cp_delay_ms node1 node2 cp_process_time rest_ms
267014 60000 1 s1 s2 114181 92833
346326 60000 1 s1 s2 168948 117378 
311873 60000 1 s1 s2 176548 75325
276886 60000 1 s1 s2 141388 75498
339271 60000 1 s1 s2 136722 142549
313800 60000 1 s1 s2 123263 130537
299574 60000 1 s1 s2 133188 106386
373837 60000 1 s1 s2 172963 140874
350466 60000 1 s1 s2 164874 125592
343148 60000 1 s1 s2 160875 122273

#Avg threshold cp_process_time rest_ms
Avg: 60000 149295 112924.5


