#total threshold cp_delay_ms node1 node2 cp_process_time rest_ms
282348 60000 15 s1 s2 122043 100305
323980 60000 15 s1 s2 116743 147237
286064 60000 15 s1 s2 93067 132997
346549 60000 15 s1 s2 157570 128979
267629 60000 15 s1 s2 101465 106164
282681 60000 15 s1 s2 115299 107382
363161 60000 15 s1 s2 158715 144446
342869 60000 15 s1 s2 135508 147361
271261 60000 15 s1 s2 101454 109807
335535 60000 15 s1 s2 158385 117150

#Avg threshold cp_process_time rest_ms
Avg: 60000 128345.6 124182.8
